epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7729,0.47724,0.32541,0.87168,0.89021,0.68706,0.80048,0.65823,0.65764,0.64785,0.97049,0.0673601,9.82143e-05,9.82143e-05
2,45.4137,0.45035,0.33235,0.86967,0.91451,0.75309,0.82956,0.70283,0.48699,0.40561,0.87762,0.0341263,0.000197724,0.000197724
3,68.9112,0.45324,0.33284,0.87084,0.93284,0.74681,0.82594,0.7058,0.49305,0.39338,0.88579,0.000891976,0.000296738,0.000296738
4,92.552,0.44448,0.32609,0.86898,0.91159,0.75033,0.81303,0.6886,0.49212,0.3884,0.88826,0.000297773,0.000297773,0.000297773
5,115.244,0.44381,0.3369,0.87242,0.93989,0.72998,0.81446,0.68493,0.50537,0.42454,0.89328,0.00029703,0.00029703,0.00029703
6,137.948,0.45369,0.3355,0.86654,0.90928,0.73731,0.82044,0.69049,0.49272,0.40894,0.88244,0.000296288,0.000296288,0.000296288
7,160.61,0.4401,0.33192,0.87139,0.9168,0.75511,0.83143,0.69782,0.50413,0.4036,0.887,0.000295545,0.000295545,0.000295545
8,183.243,0.45019,0.33921,0.8692,0.9413,0.71722,0.81037,0.69032,0.50234,0.41346,0.88352,0.000294802,0.000294802,0.000294802
9,205.844,0.45037,0.33166,0.87217,0.91823,0.73551,0.81647,0.68279,0.495,0.41521,0.88297,0.00029406,0.00029406,0.00029406
10,228.415,0.44998,0.34226,0.87142,0.93818,0.73191,0.8169,0.67797,0.52113,0.40969,0.8988,0.000293317,0.000293317,0.000293317
11,251.06,0.45157,0.34558,0.87696,0.92302,0.74402,0.81772,0.69105,0.51168,0.41152,0.88998,0.000292575,0.000292575,0.000292575
12,273.9,0.44247,0.33277,0.87017,0.93167,0.73727,0.81817,0.69151,0.48902,0.40187,0.88387,0.000291833,0.000291833,0.000291833
13,296.511,0.44728,0.33939,0.87087,0.92177,0.74024,0.81168,0.67311,0.51345,0.42475,0.88722,0.00029109,0.00029109,0.00029109
14,319.132,0.44093,0.33421,0.87229,0.91445,0.74641,0.81972,0.69065,0.48728,0.41965,0.86951,0.000290347,0.000290347,0.000290347
15,341.777,0.45046,0.34157,0.87422,0.93652,0.74112,0.82047,0.69604,0.495,0.41234,0.88427,0.000289605,0.000289605,0.000289605
16,364.392,0.44508,0.33357,0.86636,0.90308,0.74531,0.81505,0.69253,0.48655,0.40475,0.8867,0.000288862,0.000288862,0.000288862
17,387.132,0.43222,0.3192,0.86332,0.90906,0.74717,0.82134,0.69034,0.5029,0.41725,0.89332,0.00028812,0.00028812,0.00028812
18,409.781,0.44144,0.33601,0.86983,0.92484,0.75664,0.83161,0.70052,0.47799,0.40097,0.88393,0.000287377,0.000287377,0.000287377
19,432.566,0.43913,0.32538,0.86619,0.92893,0.74301,0.81877,0.6846,0.50005,0.41449,0.89233,0.000286635,0.000286635,0.000286635
20,455.131,0.43936,0.32558,0.86992,0.91852,0.7461,0.82045,0.69563,0.48365,0.40208,0.87621,0.000285893,0.000285893,0.000285893
21,477.677,0.43694,0.32767,0.86808,0.93784,0.74073,0.81945,0.69728,0.49797,0.40054,0.89408,0.00028515,0.00028515,0.00028515
22,500.388,0.44484,0.33563,0.87345,0.94442,0.7476,0.82192,0.69955,0.48224,0.38713,0.8766,0.000284407,0.000284407,0.000284407
23,522.983,0.43221,0.32296,0.87111,0.93595,0.735,0.81914,0.69705,0.5026,0.41848,0.88364,0.000283665,0.000283665,0.000283665
24,545.618,0.42311,0.31826,0.862,0.95803,0.73379,0.82438,0.69742,0.48245,0.41424,0.88422,0.000282922,0.000282922,0.000282922
25,568.326,0.44529,0.32819,0.86878,0.93349,0.73471,0.82621,0.69206,0.49774,0.41394,0.88384,0.00028218,0.00028218,0.00028218
26,590.974,0.4406,0.33214,0.87348,0.91547,0.75687,0.81887,0.68785,0.49049,0.41537,0.87522,0.000281437,0.000281437,0.000281437
27,613.588,0.42545,0.31667,0.86165,0.93986,0.7204,0.81725,0.69151,0.496,0.41036,0.89062,0.000280695,0.000280695,0.000280695
28,636.244,0.41986,0.31284,0.86652,0.92957,0.73635,0.81944,0.7,0.48882,0.42654,0.88793,0.000279952,0.000279952,0.000279952
29,658.92,0.43182,0.32679,0.86948,0.93311,0.72221,0.81395,0.6956,0.48626,0.41852,0.8762,0.00027921,0.00027921,0.00027921
30,681.616,0.43815,0.32015,0.86938,0.94198,0.74052,0.82583,0.70803,0.48103,0.38916,0.87396,0.000278467,0.000278467,0.000278467
31,705.18,0.43682,0.33356,0.8752,0.93485,0.74572,0.83345,0.70523,0.48933,0.40391,0.87949,0.000277725,0.000277725,0.000277725
32,727.895,0.43102,0.32022,0.86579,0.94363,0.74166,0.83136,0.70681,0.46951,0.40068,0.87791,0.000276982,0.000276982,0.000276982
33,750.435,0.42292,0.31845,0.86646,0.93214,0.73564,0.81903,0.6953,0.47822,0.42139,0.8763,0.00027624,0.00027624,0.00027624
34,773.009,0.41302,0.3073,0.86501,0.9475,0.74341,0.82646,0.69832,0.48766,0.40932,0.88689,0.000275497,0.000275497,0.000275497
35,795.669,0.43045,0.31828,0.86658,0.93782,0.73605,0.82155,0.69331,0.48254,0.40778,0.88599,0.000274755,0.000274755,0.000274755
36,818.364,0.42183,0.3199,0.86799,0.90374,0.7613,0.82717,0.70216,0.48573,0.42485,0.88047,0.000274012,0.000274012,0.000274012
37,841.029,0.42133,0.3128,0.86246,0.91842,0.7392,0.82083,0.69718,0.48005,0.39999,0.88201,0.00027327,0.00027327,0.00027327
38,863.554,0.41239,0.31023,0.86862,0.92579,0.75015,0.8208,0.70293,0.45773,0.40865,0.86602,0.000272527,0.000272527,0.000272527
39,886.184,0.41295,0.30232,0.86448,0.92922,0.7466,0.82554,0.70628,0.46747,0.39326,0.87518,0.000271785,0.000271785,0.000271785
40,908.827,0.41796,0.30619,0.86205,0.93723,0.73155,0.82701,0.70098,0.46859,0.39094,0.87249,0.000271042,0.000271042,0.000271042
41,931.582,0.41151,0.30158,0.85994,0.9209,0.74863,0.83082,0.70587,0.46445,0.40983,0.8738,0.0002703,0.0002703,0.0002703
42,954.5,0.41889,0.30995,0.85851,0.94421,0.73643,0.82859,0.69999,0.46279,0.39419,0.8662,0.000269557,0.000269557,0.000269557
43,977.222,0.41306,0.30814,0.86426,0.92376,0.75952,0.83159,0.70848,0.46277,0.39609,0.87281,0.000268815,0.000268815,0.000268815
44,1000.96,0.40699,0.29445,0.8587,0.95563,0.73808,0.83287,0.71228,0.46845,0.3831,0.86889,0.000268072,0.000268072,0.000268072
45,1024.59,0.40892,0.30116,0.85967,0.92999,0.75495,0.83102,0.71037,0.45411,0.3897,0.85665,0.00026733,0.00026733,0.00026733
46,1047.18,0.41656,0.30619,0.86277,0.92696,0.75373,0.83354,0.71249,0.4629,0.38143,0.86237,0.000266587,0.000266587,0.000266587
47,1070.79,0.41075,0.30495,0.86359,0.92572,0.74381,0.82703,0.70479,0.47895,0.4044,0.87428,0.000265845,0.000265845,0.000265845
48,1093.45,0.4076,0.2991,0.86156,0.93681,0.748,0.83617,0.71196,0.48409,0.414,0.87225,0.000265103,0.000265103,0.000265103
49,1116.06,0.40552,0.29718,0.86338,0.90635,0.74667,0.82653,0.70207,0.47011,0.40302,0.8752,0.00026436,0.00026436,0.00026436
50,1138.79,0.40247,0.29838,0.86032,0.92419,0.76039,0.83419,0.70462,0.46728,0.39026,0.87724,0.000263617,0.000263617,0.000263617
51,1161.4,0.402,0.29682,0.85677,0.92964,0.76444,0.83986,0.71527,0.47472,0.38454,0.88406,0.000262875,0.000262875,0.000262875
52,1185.08,0.4112,0.30095,0.86688,0.93368,0.74545,0.82907,0.71295,0.46306,0.38142,0.88731,0.000262132,0.000262132,0.000262132
53,1207.64,0.40064,0.29127,0.86184,0.93629,0.73232,0.82442,0.70308,0.47742,0.40176,0.88496,0.00026139,0.00026139,0.00026139
54,1230.19,0.40602,0.29861,0.86165,0.92963,0.75754,0.83248,0.7035,0.46687,0.38152,0.879,0.000260647,0.000260647,0.000260647
55,1252.92,0.39241,0.29198,0.85679,0.91429,0.74158,0.82737,0.70865,0.46221,0.41161,0.87827,0.000259905,0.000259905,0.000259905
56,1275.65,0.39927,0.29932,0.85715,0.92261,0.7479,0.82687,0.70213,0.46947,0.40582,0.88128,0.000259163,0.000259163,0.000259163
57,1298.36,0.40371,0.29401,0.8577,0.94366,0.74923,0.83054,0.70694,0.47121,0.37902,0.87225,0.00025842,0.00025842,0.00025842
58,1320.99,0.39122,0.29209,0.85512,0.95158,0.73159,0.829,0.70875,0.48281,0.38283,0.89159,0.000257678,0.000257678,0.000257678
59,1343.68,0.40768,0.29954,0.8612,0.95325,0.74108,0.82774,0.70826,0.47966,0.39463,0.89566,0.000256935,0.000256935,0.000256935
60,1366.33,0.40278,0.29024,0.85966,0.92522,0.74193,0.82842,0.70289,0.46269,0.41208,0.8782,0.000256192,0.000256192,0.000256192
61,1389,0.41216,0.30544,0.85802,0.92853,0.74922,0.82905,0.70897,0.46177,0.38194,0.87396,0.00025545,0.00025545,0.00025545
62,1411.88,0.38814,0.28947,0.85249,0.95255,0.74337,0.8321,0.7113,0.45741,0.38044,0.87167,0.000254707,0.000254707,0.000254707
63,1434.69,0.39136,0.28819,0.85447,0.94365,0.73576,0.82694,0.70396,0.47171,0.38228,0.881,0.000253965,0.000253965,0.000253965
64,1457.43,0.39203,0.28931,0.85339,0.93184,0.7423,0.82608,0.70853,0.4667,0.39512,0.87308,0.000253223,0.000253223,0.000253223
65,1480.19,0.39208,0.29162,0.85703,0.92551,0.74404,0.83081,0.71021,0.44854,0.39574,0.86353,0.00025248,0.00025248,0.00025248
66,1502.89,0.39612,0.29654,0.85786,0.95025,0.73769,0.82681,0.70956,0.4436,0.38548,0.86655,0.000251737,0.000251737,0.000251737
67,1525.47,0.38667,0.28833,0.86018,0.93038,0.75353,0.82743,0.7089,0.45919,0.39432,0.87434,0.000250995,0.000250995,0.000250995
68,1548.03,0.3917,0.28802,0.85664,0.92945,0.75877,0.82871,0.70994,0.44674,0.39396,0.86618,0.000250252,0.000250252,0.000250252
