epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4433,1.76616,2.13841,1.5681,1,0.10428,0.55213,0.33896,2.36268,3.98791,1.85274,0.0802198,3.96396e-05,3.96396e-05
2,50.9245,1.34708,1.1273,1.26385,0.86034,0.65711,0.79628,0.50736,1.6026,1.02137,1.24535,0.0602596,7.94144e-05,7.94144e-05
3,76.1688,1.22956,0.90988,1.20119,0.8915,0.70906,0.8324,0.62943,1.14109,0.79042,1.05084,0.0402991,0.000118963,0.000118963
4,100.263,1.18542,0.8653,1.17436,0.89448,0.71134,0.83686,0.67248,0.92146,0.67762,0.98263,0.0203385,0.000158285,0.000158285
5,126.061,1.10386,0.77275,1.13471,0.94699,0.71102,0.84435,0.70614,0.79143,0.62859,0.95132,0.000377561,0.000197381,0.000197381
6,151.039,1.06878,0.76835,1.11576,0.94653,0.69632,0.83892,0.70159,0.79978,0.64013,0.94934,0.000197171,0.000197171,0.000197171
7,175.57,0.99452,0.70107,1.08852,0.92788,0.71596,0.84405,0.71459,0.76085,0.60803,0.93293,0.000196606,0.000196606,0.000196606
8,201.011,0.9897,0.69095,1.07669,0.91643,0.72301,0.84526,0.69997,0.83677,0.61783,0.94658,0.00019604,0.00019604,0.00019604
9,226.026,0.98342,0.70595,1.08408,0.92704,0.71659,0.84118,0.68218,0.92728,0.64216,0.96881,0.000195474,0.000195474,0.000195474
10,250.364,0.9782,0.6918,1.08161,0.93403,0.70812,0.84073,0.71237,0.7894,0.59243,0.93805,0.000194909,0.000194909,0.000194909
11,274.982,0.96585,0.68873,1.06954,0.9294,0.72101,0.84739,0.72076,0.75464,0.58501,0.9312,0.000194343,0.000194343,0.000194343
12,299.789,0.94,0.66432,1.04909,0.95352,0.7096,0.85164,0.70973,0.80664,0.58916,0.92954,0.000193777,0.000193777,0.000193777
13,324.075,0.93792,0.66365,1.05232,0.92569,0.73121,0.84968,0.73406,0.70613,0.55912,0.9107,0.000193211,0.000193211,0.000193211
14,349.55,0.93636,0.66789,1.06415,0.92858,0.71464,0.84564,0.69876,0.84794,0.61265,0.94687,0.000192646,0.000192646,0.000192646
15,374.421,0.9336,0.65227,1.05538,0.90706,0.73648,0.85072,0.71357,0.77921,0.58621,0.93333,0.00019208,0.00019208,0.00019208
16,398.161,0.91743,0.6413,1.0496,0.94914,0.7227,0.85396,0.71853,0.78277,0.58519,0.92669,0.000191514,0.000191514,0.000191514
17,422.519,0.90839,0.64081,1.04163,0.92227,0.74065,0.85537,0.72669,0.75533,0.57055,0.91899,0.000190949,0.000190949,0.000190949
18,446.759,0.89526,0.62795,1.04374,0.93537,0.7136,0.84784,0.73414,0.70039,0.57953,0.91561,0.000190383,0.000190383,0.000190383
19,472.674,0.90219,0.6368,1.04278,0.93087,0.73002,0.85422,0.73105,0.71595,0.54634,0.91049,0.000189817,0.000189817,0.000189817
20,498.644,0.90343,0.63544,1.05095,0.95114,0.70843,0.85202,0.72061,0.73902,0.56644,0.9144,0.000189251,0.000189251,0.000189251
21,523.749,0.89374,0.62391,1.04694,0.92333,0.7349,0.853,0.73282,0.70512,0.55862,0.90876,0.000188686,0.000188686,0.000188686
22,548.025,0.9012,0.61985,1.04413,0.92672,0.72164,0.84676,0.72994,0.68029,0.57966,0.90965,0.00018812,0.00018812,0.00018812
23,571.772,0.89499,0.64293,1.03885,0.93601,0.72727,0.85292,0.72716,0.72685,0.55583,0.91547,0.000187554,0.000187554,0.000187554
24,596.466,0.87447,0.616,1.02686,0.92936,0.72648,0.85274,0.7296,0.71345,0.5427,0.9122,0.000186989,0.000186989,0.000186989
25,621.053,0.88882,0.61709,1.03699,0.96836,0.70008,0.84819,0.7309,0.72501,0.58478,0.91859,0.000186423,0.000186423,0.000186423
26,644.581,0.8761,0.6083,1.02546,0.94698,0.72553,0.85653,0.73414,0.6997,0.54459,0.90512,0.000185857,0.000185857,0.000185857
27,670.815,0.86848,0.59824,1.02377,0.91231,0.73744,0.85291,0.73063,0.71822,0.55236,0.90603,0.000185291,0.000185291,0.000185291
28,695.222,0.8487,0.58173,1.01925,0.9315,0.71984,0.85356,0.74122,0.66977,0.52394,0.90464,0.000184726,0.000184726,0.000184726
29,721.766,0.85244,0.57368,1.01386,0.93761,0.71814,0.85248,0.73276,0.69637,0.53858,0.91342,0.00018416,0.00018416,0.00018416
30,745.034,0.85726,0.57974,1.01883,0.92009,0.74391,0.85766,0.72879,0.73788,0.54574,0.91268,0.000183594,0.000183594,0.000183594
31,770.218,0.85426,0.58847,1.01988,0.93181,0.72008,0.84568,0.71126,0.78014,0.60536,0.9312,0.000183029,0.000183029,0.000183029
32,792.802,0.8533,0.59249,1.0131,0.9042,0.7534,0.86027,0.73974,0.67417,0.53466,0.90304,0.000182463,0.000182463,0.000182463
33,815.094,0.86622,0.59096,1.01781,0.93734,0.74041,0.85888,0.74554,0.68226,0.53586,0.90026,0.000181897,0.000181897,0.000181897
34,840.249,0.83646,0.57853,1.01112,0.92705,0.73389,0.85284,0.74631,0.64221,0.55762,0.90393,0.000181331,0.000181331,0.000181331
35,864.296,0.84958,0.58874,1.00933,0.93487,0.74055,0.85894,0.73514,0.7017,0.54481,0.91599,0.000180766,0.000180766,0.000180766
36,888.674,0.82713,0.56767,1.00935,0.93513,0.74137,0.86,0.74387,0.68572,0.52968,0.89991,0.0001802,0.0001802,0.0001802
37,912.472,0.82958,0.57412,1.0038,0.92228,0.73529,0.85736,0.70865,0.80153,0.55044,0.94071,0.000179634,0.000179634,0.000179634
38,937.846,0.85445,0.58053,1.02677,0.94429,0.72407,0.85175,0.73103,0.70387,0.56311,0.90923,0.000179069,0.000179069,0.000179069
39,961.623,0.84182,0.57904,1.01144,0.94622,0.73897,0.86002,0.72919,0.73876,0.54017,0.91381,0.000178503,0.000178503,0.000178503
40,984.195,0.84933,0.59189,1.00963,0.95524,0.73138,0.86157,0.7443,0.67557,0.51846,0.90151,0.000177937,0.000177937,0.000177937
41,1009.71,0.85051,0.5999,1.02039,0.91857,0.74286,0.85759,0.7469,0.6489,0.52843,0.90157,0.000177371,0.000177371,0.000177371
42,1036.31,0.81931,0.56452,1.00404,0.93274,0.73123,0.856,0.72334,0.72032,0.53984,0.91815,0.000176806,0.000176806,0.000176806
