epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.789,1.39497,2.11157,1.39063,0.66021,0.44964,0.50658,0.33842,1.12296,1.4333,1.17957,0.0670661,9.90991e-05,9.90991e-05
2,63.7519,1.25751,1.30003,1.27995,0.77084,0.53825,0.61834,0.40535,1.22302,1.14974,1.18503,0.0338321,0.000198442,0.000198442
3,94.2274,1.22736,1.15681,1.27072,0.84066,0.55881,0.66192,0.42685,1.16365,0.96323,1.14989,0.000597425,0.000297125,0.000297125
4,124.484,1.16453,1.07986,1.23598,0.80553,0.58908,0.6643,0.4506,1.07461,0.9418,1.11612,0.00029703,0.00029703,0.00029703
5,155.771,1.17981,1.07009,1.24177,0.83193,0.6296,0.69413,0.49286,0.94713,0.88065,1.07028,0.00029604,0.00029604,0.00029604
6,186.097,1.15467,1.01536,1.22587,0.84319,0.62805,0.70328,0.46672,1.20054,0.85724,1.13952,0.00029505,0.00029505,0.00029505
7,215.623,1.13547,0.9616,1.20724,0.83601,0.6264,0.70484,0.51727,0.95095,0.81682,1.07681,0.00029406,0.00029406,0.00029406
8,246.374,1.10185,0.90617,1.18154,0.91949,0.63358,0.73218,0.52065,0.9139,0.71668,1.04745,0.00029307,0.00029307,0.00029307
9,276.628,1.09109,0.90554,1.19223,0.87653,0.64066,0.72148,0.52572,0.84516,0.76157,1.02663,0.00029208,0.00029208,0.00029208
10,306.863,1.06547,0.85451,1.16789,0.89995,0.63976,0.73267,0.5438,0.82889,0.70629,1.02107,0.00029109,0.00029109,0.00029109
11,336.646,1.0583,0.86339,1.16499,0.88551,0.65588,0.73212,0.5377,0.81522,0.69869,1.02361,0.0002901,0.0002901,0.0002901
12,366.132,1.05911,0.87456,1.16162,0.87583,0.63474,0.72994,0.53207,0.89871,0.72111,1.03759,0.00028911,0.00028911,0.00028911
13,395.994,1.05809,0.83807,1.16152,0.88105,0.64585,0.73858,0.5545,0.79449,0.7164,1.01275,0.00028812,0.00028812,0.00028812
14,426.232,1.04275,0.83106,1.14958,0.86877,0.64166,0.73209,0.54811,0.81348,0.68048,1.00427,0.00028713,0.00028713,0.00028713
15,457.583,1.01123,0.79164,1.14145,0.90774,0.65232,0.75613,0.55059,0.86591,0.66245,1.0184,0.00028614,0.00028614,0.00028614
16,487.178,1.02166,0.77491,1.13982,0.85472,0.68667,0.7475,0.57119,0.78016,0.65297,0.99633,0.00028515,0.00028515,0.00028515
17,516.938,1.02957,0.76303,1.13357,0.85173,0.67482,0.7437,0.56028,0.76564,0.69919,1.00139,0.00028416,0.00028416,0.00028416
18,546.429,0.98065,0.74063,1.12761,0.91124,0.66617,0.75805,0.58339,0.73704,0.62627,0.999,0.00028317,0.00028317,0.00028317
19,576.894,0.98573,0.75336,1.11513,0.8921,0.65417,0.75957,0.56953,0.83598,0.64578,1.00309,0.00028218,0.00028218,0.00028218
20,606.432,0.98044,0.74428,1.11344,0.89491,0.65434,0.75809,0.57668,0.77881,0.62299,0.98872,0.00028119,0.00028119,0.00028119
21,636.17,0.9648,0.73109,1.12004,0.8763,0.67677,0.75417,0.582,0.73069,0.60376,0.96654,0.0002802,0.0002802,0.0002802
22,665.741,0.96011,0.71619,1.10117,0.87573,0.66917,0.75803,0.57029,0.78173,0.62099,0.98921,0.00027921,0.00027921,0.00027921
23,694.732,0.95838,0.705,1.10833,0.89072,0.65659,0.75058,0.58066,0.73486,0.64075,0.98136,0.00027822,0.00027822,0.00027822
24,724.126,0.95303,0.72398,1.10087,0.87417,0.68274,0.75638,0.57004,0.80771,0.63765,0.98639,0.00027723,0.00027723,0.00027723
