epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4331,1.39638,2.17577,1.39173,0.61213,0.46507,0.49975,0.32536,1.24619,1.49104,1.22102,0.0670661,9.90991e-05,9.90991e-05
2,70.9071,1.23935,1.33688,1.29698,0.82151,0.51713,0.62601,0.36642,1.39671,1.11583,1.29274,0.0338321,0.000198442,0.000198442
3,102.18,1.2146,1.16696,1.26092,0.87288,0.5627,0.68184,0.44703,1.14617,0.96505,1.14331,0.000597425,0.000297125,0.000297125
4,132.183,1.20825,1.12432,1.26771,0.82108,0.57568,0.66351,0.46334,0.98862,0.95021,1.12028,0.00029703,0.00029703,0.00029703
5,162.625,1.16388,1.06847,1.24196,0.80344,0.59714,0.67811,0.47461,0.98489,0.86051,1.10285,0.00029604,0.00029604,0.00029604
6,194.609,1.12343,0.98002,1.22815,0.87374,0.60157,0.69087,0.50687,0.91219,0.81676,1.06766,0.00029505,0.00029505,0.00029505
7,227.404,1.13719,0.98385,1.24207,0.8371,0.61368,0.69347,0.50847,0.87811,0.7702,1.0597,0.00029406,0.00029406,0.00029406
8,259.514,1.0985,0.92536,1.2075,0.84994,0.63024,0.71459,0.53088,0.86847,0.75268,1.06378,0.00029307,0.00029307,0.00029307
9,289.146,1.07777,0.89478,1.20045,0.8314,0.64481,0.70908,0.51117,0.95647,0.76182,1.06371,0.00029208,0.00029208,0.00029208
10,318.699,1.07405,0.91905,1.20122,0.88057,0.64463,0.73264,0.54746,0.81199,0.7043,1.02889,0.00029109,0.00029109,0.00029109
11,350.414,1.05137,0.86429,1.16772,0.8996,0.63786,0.73116,0.53554,0.8456,0.70545,1.03506,0.0002901,0.0002901,0.0002901
12,379.968,1.0858,0.88609,1.17858,0.91155,0.62098,0.72965,0.53801,0.83013,0.71057,1.02772,0.00028911,0.00028911,0.00028911
13,410.705,1.04043,0.82917,1.16131,0.8992,0.64349,0.74253,0.55901,0.80695,0.65583,1.00966,0.00028812,0.00028812,0.00028812
14,441.759,1.04866,0.83211,1.16803,0.87376,0.63528,0.72556,0.54077,0.8101,0.67842,1.00412,0.00028713,0.00028713,0.00028713
15,472.94,1.02702,0.82429,1.1639,0.89126,0.64407,0.74841,0.56284,0.77318,0.66623,1.009,0.00028614,0.00028614,0.00028614
16,503.274,1.0165,0.79268,1.14575,0.8708,0.63595,0.72677,0.55348,0.79149,0.66233,1.012,0.00028515,0.00028515,0.00028515
17,534.182,1.00838,0.79751,1.12276,0.88364,0.68812,0.75484,0.54125,0.86178,0.66417,1.01143,0.00028416,0.00028416,0.00028416
18,564.886,0.98972,0.77231,1.13175,0.8659,0.66903,0.7482,0.56471,0.74539,0.62975,0.99842,0.00028317,0.00028317,0.00028317
19,595.37,1.00754,0.77748,1.13724,0.90773,0.64025,0.7424,0.55567,0.74455,0.6434,0.9946,0.00028218,0.00028218,0.00028218
20,624.615,0.9926,0.75421,1.12427,0.8946,0.67445,0.77236,0.58767,0.70908,0.58172,0.97564,0.00028119,0.00028119,0.00028119
21,656.256,0.97644,0.75262,1.12941,0.89065,0.65186,0.74088,0.57073,0.74559,0.6326,0.98886,0.0002802,0.0002802,0.0002802
22,685.577,0.97643,0.72459,1.11297,0.89651,0.68335,0.76517,0.58447,0.72728,0.58913,0.98725,0.00027921,0.00027921,0.00027921
23,715.691,0.99814,0.74768,1.12407,0.88265,0.65706,0.7536,0.57926,0.72867,0.60839,0.98336,0.00027822,0.00027822,0.00027822
24,744.955,0.96564,0.73671,1.11529,0.87659,0.68078,0.76043,0.58108,0.71732,0.56606,0.99355,0.00027723,0.00027723,0.00027723
25,776.1,0.97519,0.72049,1.11823,0.85863,0.67821,0.75159,0.57772,0.75237,0.65934,0.98924,0.00027624,0.00027624,0.00027624
26,807.482,0.98195,0.7259,1.11535,0.86875,0.68881,0.75958,0.58389,0.75488,0.59352,0.98464,0.00027525,0.00027525,0.00027525
27,837.521,0.92607,0.68404,1.08127,0.87516,0.70268,0.76719,0.5847,0.73291,0.58101,0.97299,0.00027426,0.00027426,0.00027426
28,867.498,0.91946,0.68372,1.0971,0.87601,0.68671,0.76365,0.58439,0.76457,0.59296,1.00027,0.00027327,0.00027327,0.00027327
29,897.971,0.9405,0.69366,1.10611,0.88663,0.67429,0.75776,0.58229,0.71714,0.59855,0.97483,0.00027228,0.00027228,0.00027228
30,927.988,0.93355,0.67392,1.10203,0.88056,0.68862,0.76992,0.60837,0.6696,0.58395,0.96278,0.00027129,0.00027129,0.00027129
31,959.157,0.93663,0.69533,1.09108,0.91217,0.68527,0.77334,0.59405,0.71786,0.57177,0.96582,0.0002703,0.0002703,0.0002703
32,988.886,0.94147,0.70293,1.09609,0.8683,0.7007,0.76618,0.59976,0.71607,0.56299,0.96081,0.00026931,0.00026931,0.00026931
33,1020.31,0.9093,0.66434,1.06048,0.87959,0.70531,0.76668,0.59951,0.69696,0.54145,0.95318,0.00026832,0.00026832,0.00026832
34,1050.46,0.90993,0.68046,1.08231,0.88141,0.68408,0.76556,0.59797,0.70779,0.54152,0.96565,0.00026733,0.00026733,0.00026733
35,1080.52,0.90618,0.66321,1.07176,0.88743,0.70222,0.77423,0.61235,0.68169,0.54699,0.96872,0.00026634,0.00026634,0.00026634
36,1111.21,0.89542,0.66364,1.07086,0.92921,0.66612,0.7751,0.6089,0.67636,0.56807,0.95008,0.00026535,0.00026535,0.00026535
37,1141.74,0.89401,0.66843,1.07337,0.90188,0.71304,0.78325,0.62942,0.63682,0.51578,0.93886,0.00026436,0.00026436,0.00026436
38,1172.19,0.85836,0.64305,1.05246,0.91784,0.68022,0.7777,0.61069,0.72098,0.55235,0.96349,0.00026337,0.00026337,0.00026337
39,1203.53,0.83911,0.62956,1.05233,0.88601,0.67293,0.76846,0.60625,0.7085,0.55408,0.96694,0.00026238,0.00026238,0.00026238
40,1233.06,0.85138,0.6353,1.0457,0.92067,0.70224,0.7758,0.59955,0.72473,0.55889,0.96089,0.00026139,0.00026139,0.00026139
41,1263.14,0.81596,0.62403,1.03217,0.89862,0.70415,0.78451,0.61778,0.6646,0.52785,0.94887,0.0002604,0.0002604,0.0002604
42,1292.58,0.83311,0.62592,1.0494,0.89372,0.69957,0.77782,0.62269,0.62814,0.50992,0.93649,0.00025941,0.00025941,0.00025941
43,1323.1,0.83781,0.62861,1.048,0.91388,0.69343,0.77316,0.61601,0.63574,0.54431,0.94498,0.00025842,0.00025842,0.00025842
44,1353.1,0.79819,0.60172,1.03122,0.92899,0.69351,0.77906,0.62848,0.61164,0.52839,0.92701,0.00025743,0.00025743,0.00025743
45,1383.13,0.83178,0.63573,1.04854,0.91188,0.6846,0.76493,0.60237,0.65182,0.54796,0.94639,0.00025644,0.00025644,0.00025644
46,1414,0.81966,0.6113,1.04379,0.95206,0.68549,0.78629,0.62131,0.6586,0.51791,0.95296,0.00025545,0.00025545,0.00025545
47,1443.92,0.79561,0.58714,1.03216,0.90229,0.68745,0.77754,0.6306,0.61075,0.50957,0.93231,0.00025446,0.00025446,0.00025446
48,1474.28,0.78109,0.58269,1.02014,0.90603,0.71265,0.78651,0.63316,0.63916,0.50059,0.92973,0.00025347,0.00025347,0.00025347
49,1505.72,0.78465,0.5973,1.02083,0.91175,0.70813,0.78325,0.62829,0.61287,0.48928,0.92566,0.00025248,0.00025248,0.00025248
50,1537.27,0.77962,0.57571,1.01658,0.93656,0.69575,0.79155,0.63624,0.61857,0.47828,0.93412,0.00025149,0.00025149,0.00025149
51,1569.51,0.77481,0.57005,1.01764,0.91774,0.69044,0.78161,0.63366,0.61208,0.49874,0.92844,0.0002505,0.0002505,0.0002505
52,1600.36,0.78709,0.58862,1.01784,0.90539,0.71643,0.78714,0.62946,0.62513,0.49505,0.92937,0.00024951,0.00024951,0.00024951
53,1630.73,0.78302,0.59619,1.02318,0.89445,0.71632,0.78845,0.62668,0.64646,0.5338,0.9282,0.00024852,0.00024852,0.00024852
54,1660.94,0.75218,0.56446,1.00366,0.91046,0.70937,0.79543,0.62266,0.68132,0.51287,0.94275,0.00024753,0.00024753,0.00024753
